,ID,text,label
0,SUAVK39Z,I feel better I dieAm happy,Depression
1,9JDAGUV3,Why I get hallucinations,Drugs
2,419WR1LQ,I stresseed due lack financial support school,Depression
3,6UY7DX6Q,Why life important,Suicide
4,FYC0FTFB,How could I helped go depression,Depression
5,V6VSDJ5I,What effects depression ones health,Depression
6,9736J4UE,Why everything hard deal life,Depression
7,AY8L479Y,I feel emotionally overwhelmed,Depression
8,OSFJV5EC,How manage taking alcohol,Alcohol
9,U4SGUGGM,Is heaven open us smoke bhang,Drugs
10,JGBMEUC1,How survive without money,Depression
11,LM8GPR0X,How stop What I life becomes unbearable,Alcohol
12,EIF8Y8MX,I ever sad alone always drugsNow I know cope negative aspects life,Depression
13,03TVUJ9J,I feel empty absent minded,Depression
14,CBMIYRK7,I experienced depression studies,Depression
15,Y5MH83OX,I feel like alone world,Depression
16,OHIWTBLA,I feel low place,Depression
17,0LPO6TKU,What get depression,Depression
18,WQG9NYO0,How I stop using alcohol,Alcohol
19,WYDRQKK9,I feel hopeless unworthy useless …How I cope stress frorge past,Depression
20,H6HGNIPM,Does mediataton help stop weed addiction,Drugs
21,JJFB80YG,I feel bad life difficulties I also feel bad I one control,Depression
22,SI6LH9S9,What effects smoking bhang,Drugs
23,P4T442GZ,Sadness hatredNow feeling happiness,Depression
24,6T60B8ZM,Feelings like everything falling apart Now things control,Depression
25,EL8WHB10,I cope ta difficult situation I avoid,Depression
26,K9DGPFW6,Deteriorating academic performance,Depression
27,46DPSGSJ,Effect alcohol society body,Alcohol
28,AWTMRJ2C,How could stop using bhang,Drugs
29,Z38CHPES,How avoid drug abuse,Drugs
30,NUJNN8HA,How I stop What addiction means,Alcohol
31,O7SRICTV,I feel rejected,Depression
32,TY6R8YBF,Is right depressed person use drugs,Depression
33,4DDQ2BRX,I stopped taking alcohol thought good,Alcohol
34,CV11SA2H,How I seek help alcoholism,Alcohol
35,NYZTVG5E,stressed,Depression
36,G5GF4H7P,Main challenges depression side effects health,Depression
37,ZB73RBET,feel confused helpless pushed cornerFeeling kind better,Depression
38,93G4A70N,How one avoid bad company,Drugs
39,X45W9Q0S,How avoiod depression campus,Depression
40,ZBUCI1MA,Causes suicide youths,Suicide
41,J9T35NVE,What effects alcohol,Alcohol
42,JP9NVFHD,I feel low I overcome,Depression
43,ML2SKCYN,I feel painful unwanted,Depression
44,MT04SPT2,What I change situation,Depression
45,G4VUYDC1,What resist bad feeling,Depression
46,5M88BU4L,Too much classwork I cope ith many responsibilities,Depression
47,2ANINIO7,How I stop alcohol,Alcohol
48,BXMHPTHE,I facing lot challenges life financially emotionally psycologically solutions…How I safely look solutions depression google,Depression
49,459AWRKP,I always feel,Depression
50,2ZH6D7O3,sad lonely,Depression
51,9XPAAVP5,I feel I unworthy wasted,Depression
52,8MPE9DNC,best ways I follow stop using,Alcohol
53,65WCW3PH,I think I handle drink,Alcohol
54,J4ES54MZ,I feel depressed relationship issueS,Depression
55,97VW5839,How stop taking alcohol,Alcohol
56,6T8HVMG3,I minimize alcoholism,Alcohol
57,0RFTD03Y,How deal overcome bad situation,Suicide
58,KBYAYAJC,Effects alcohol,Alcohol
59,9WUGXUWF,I used rent money gambling,Depression
60,QKBV071K,Why exist,Depression
61,BM946H9J,Will Prayer help sucidal thoughts,Suicide
62,IBADW0FW,How I get help,Depression
63,5I2N159N,Who could reason depression,Depression
64,KTL0D91A,I suffer depression times think best way avoid keeping busy,Depression
65,1JALYOEE,How avoid alcohol,Alcohol
66,HD9XSQZD,Lonely happiness,Depression
67,T65023SD,harm fo I take alcohol,Alcohol
68,YAKKXF3T,What importance alcohol,Alcohol
69,PENYQE5S,I feel indescribable sadness,Depression
70,89FS5OH2,What common ways reduce depression,Depression
71,HSAB9P4S,I feel low,Depression
72,RI9SGXM0,Parental negletion causing depression,Depression
73,4B8XOMN7,Effects alcohol body health,Alcohol
74,NGK6ZM5H,I bad company friends influence smoke weed,Drugs
75,TD9B0JK7,I ’ succed I,Depression
76,SCTJPCQ1,Is self worth life,Suicide
77,QDBMJA08,I low self esteem,Depression
78,YS9D64RF,How I overcome alcoholism,Alcohol
79,MKWX9595,How stop using weed,Drugs
80,HIE8CSV7,I downhearted How I overcome feeling,Depression
81,F6LTQ978,How stop alcohol,Alcohol
82,P1R7AXPE,I stop drinking alcohol,Alcohol
83,SCBE9RL5,How overcome incident,Suicide
84,27LQQZQ3,Side effects problems associated depression,Depression
85,KHJGZIB1,I feel irritated happen,Depression
86,VPIOXWS8,What best way withdraw drugs,Drugs
